X,Y
7191.782884,-3040.425056
7191.784623,-3040.926287
7191.786708,-3041.427615
7191.78917,-3041.929083
7191.792045,-3042.430651
7191.795362,-3042.932355
7191.799158,-3043.43416
7191.803461,-3043.936097
7191.808309,-3044.438136
7191.81373,-3044.940304
7191.819762,-3045.442572
7191.826433,-3045.944966
7191.833779,-3046.44746
7191.841832,-3046.950075
7191.850626,-3047.452788
7191.860192,-3047.955619
7191.870565,-3048.458544
7191.881777,-3048.961582
7191.893862,-3049.464711
7191.906852,-3049.967949
7191.920781,-3050.471273
7191.935682,-3050.974699
7191.951588,-3051.478207
7191.968531,-3051.981811
7191.986547,-3052.48549
7192.005666,-3052.989258
7192.025923,-3053.493095
7192.047351,-3053.997012
7192.069984,-3054.500991
7192.093853,-3055.005041
7192.118993,-3055.509143
7192.145436,-3056.013307
7192.173218,-3056.517513
7192.202368,-3057.02177
7192.232924,-3057.526059
7192.264914,-3058.030387
7192.298376,-3058.534734
7192.33334,-3059.039107
7192.369841,-3059.543487
7192.407911,-3060.047878
7192.447584,-3060.552261
7192.488893,-3061.05664
7192.531871,-3061.560996
7192.576551,-3062.065332
7192.622967,-3062.569627
7192.67115,-3063.073883
7192.721136,-3063.57808
7192.772955,-3064.082219
7192.826643,-3064.58628
7192.88223,-3065.090262
7192.939751,-3065.594144
7192.999237,-3066.097924
7193.060723,-3066.601582
7193.12424,-3067.105115
7193.189822,-3067.608501
7193.2575,-3068.111736
7193.327308,-3068.614798
7193.399277,-3069.117683
7193.473442,-3069.620367
7193.549832,-3070.122845
7193.628482,-3070.625092
7193.709423,-3071.127103

